French,English
partie,part
chercher,search
seulement,only
pensais,thought
demande,request
genre,kind
mois,month
aucun,no
laisse,leash
ville,city
arrivé,come
bébé,baby
longtemps,long time
heures,hours
vont,will
étaient,were
attention,Warning
voici,here is
type,type
leurs,their
donné,given
train,train
endroit,place
yeux,eyes
façon,way
trouve,find
premier,first
main,hand
première,first
côté,side
vieux,old
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
attendez,Wait
arrêter,Stop
dirait,would say
terre,Earth
compte,account
fin,end
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
